iter	Passed	Remaining
472	674	751
473	675	749
474	676	747
475	677	745
476	678	744
477	679	742
478	681	741
479	682	739
480	683	737
481	684	735
482	685	733
483	686	731
484	687	729
485	688	727
486	689	725
487	689	723
488	690	721
489	691	720
490	692	718
491	693	716
492	695	715
493	696	713
494	697	711
495	698	710
496	699	708
497	700	706
498	701	704
499	703	703
500	704	701
501	705	699
502	706	697
503	707	695
504	708	694
505	709	692
506	710	691
507	711	689
508	712	687
509	713	685
510	714	683
511	715	682
512	716	680
513	717	678
514	718	677
515	719	675
516	721	673
517	722	672
518	724	671
519	725	669
520	726	667
521	727	666
522	728	664
523	729	662
524	730	660
525	731	659
526	732	657
527	733	655
528	735	654
529	736	653
530	738	652
531	739	650
532	740	648
533	741	647
534	742	645
535	743	643
536	744	642
537	745	640
538	746	638
539	747	637
540	748	635
541	749	633
542	750	631
543	752	630
544	753	629
545	755	627
546	756	626
547	757	624
548	758	622
549	759	621
550	760	619
551	761	617
552	762	616
553	763	614
554	764	612
555	765	611
556	767	610
557	768	608
558	769	606
559	770	605
560	771	603
561	772	601
562	773	600
563	774	598
564	775	596
565	776	595
566	777	593
567	777	591
568	778	589
569	780	588
570	782	587
571	783	586
572	785	585
573	786	583
574	787	581
575	788	580
576	789	578
577	791	577
578	792	576
579	797	577
580	798	575
581	799	574
582	800	572
583	801	570
584	802	569
585	803	567
586	804	566
587	806	564
588	807	563
589	808	561
590	809	560
591	811	559
592	812	557
593	813	555
594	814	554
595	815	552
596	816	550
597	817	549
598	818	547
599	819	546
600	819	544
601	820	542
602	821	541
603	822	539
604	824	538
605	825	536
606	826	535
607	827	533
608	828	532
609	829	530
610	830	528
611	831	527
612	832	525
613	833	524
614	835	522
615	836	521
616	837	519
617	838	518
618	839	516
619	840	515
620	841	513
621	842	512
622	843	510
623	844	509
624	845	507
625	846	505
626	847	504
627	849	502
628	850	501
629	851	499
630	852	498
631	853	497
632	855	495
633	856	494
634	857	492
635	858	491
636	859	489
637	860	488
638	861	486
639	861	484
640	863	483
641	864	481
642	864	480
643	865	478
644	867	477
645	868	476
646	869	474
647	870	473
648	871	471
649	872	469
650	873	468
651	874	466
652	875	465
653	876	463
654	877	462
655	878	460
656	879	459
657	880	457
658	881	456
659	883	455
660	884	453
661	885	452
662	886	450
663	887	449
664	889	447
665	890	446
666	891	444
667	891	443
668	892	441
669	893	440
670	894	438
671	895	437
672	896	435
673	898	434
674	899	433
675	900	431
676	901	430
677	902	428
678	903	427
679	904	425
680	905	424
681	906	422
682	907	421
683	908	419
684	909	418
685	910	416
686	912	415
687	913	414
688	914	412
689	915	411
690	916	409
691	917	408
692	918	406
693	919	405
694	920	403
695	921	402
696	922	401
697	923	399
698	924	398
699	925	396
700	927	395
701	928	393
702	929	392
703	930	391
704	931	389
705	932	388
706	933	386
707	934	385
708	935	384
709	937	382
710	937	381
711	938	379
712	940	378
713	941	377
714	943	375
715	944	374
716	945	373
717	947	371
718	948	370
719	950	369
720	951	368
721	952	366
722	953	365
723	956	364
724	957	363
725	958	361
726	959	360
727	960	358
728	961	357
729	963	356
730	965	355
731	966	353
732	967	352
733	968	350
734	972	350
735	974	349
736	975	348
737	976	346
738	977	345
739	979	344
740	980	342
741	981	341
742	982	339
743	984	338
744	985	337
745	986	336
746	988	334
747	989	333
748	989	331
749	990	330
750	992	328
751	993	327
752	994	326
753	996	324
754	996	323
755	998	322
756	999	320
757	1000	319
758	1001	318
759	1003	316
760	1004	315
761	1005	313
762	1006	312
763	1007	311
764	1008	309
765	1009	308
766	1012	307
767	1014	306
768	1015	304
769	1016	303
770	1017	302
771	1018	300
772	1020	299
773	1022	298
774	1023	297
775	1024	295
776	1025	294
777	1026	292
778	1028	291
779	1029	290
780	1030	288
781	1031	287
782	1032	286
783	1033	284
784	1034	283
785	1035	282
786	1036	280
787	1038	279
788	1039	277
789	1040	276
790	1042	275
791	1043	274
792	1044	272
793	1046	271
794	1047	270
795	1048	268
796	1049	267
797	1051	266
798	1052	264
799	1053	263
800	1054	261
801	1055	260
802	1057	259
803	1058	258
804	1059	256
805	1060	255
806	1061	253
807	1062	252
808	1063	251
809	1064	249
810	1065	248
811	1066	246
812	1067	245
813	1068	244
814	1069	242
815	1070	241
816	1071	240
817	1072	238
818	1073	237
819	1074	235
820	1075	234
821	1076	233
822	1077	231
823	1078	230
824	1079	229
825	1081	227
826	1082	226
827	1083	225
828	1084	223
829	1086	222
830	1087	221
831	1088	219
832	1088	218
833	1089	216
834	1090	215
835	1092	214
836	1093	212
837	1094	211
838	1095	210
839	1096	208
840	1097	207
841	1098	206
842	1099	204
843	1101	203
844	1102	202
845	1103	200
846	1104	199
847	1105	198
848	1106	196
849	1107	195
850	1108	194
851	1109	192
852	1110	191
853	1111	190
854	1112	188
855	1113	187
856	1115	186
857	1116	184
858	1117	183
859	1118	182
860	1119	180
861	1120	179
862	1121	177
863	1122	176
864	1123	175
865	1124	173
866	1125	172
867	1126	171
868	1127	169
869	1129	168
870	1130	167
871	1131	166
872	1132	164
873	1133	163
874	1134	162
875	1135	160
876	1136	159
877	1137	158
878	1138	156
879	1138	155
880	1139	153
881	1140	152
882	1141	151
883	1143	150
884	1144	148
885	1145	147
886	1147	146
887	1148	144
888	1149	143
889	1150	142
890	1151	140
891	1153	139
892	1154	138
893	1155	137
894	1156	135
895	1159	134
896	1160	133
897	1161	131
898	1162	130
899	1164	129
900	1165	128
901	1166	126
902	1167	125
903	1168	124
904	1169	122
905	1170	121
906	1171	120
907	1173	118
908	1174	117
909	1175	116
910	1176	114
911	1177	113
912	1178	112
913	1179	110
914	1180	109
915	1181	108
916	1181	106
917	1182	105
918	1183	104
919	1184	103
920	1185	101
921	1187	100
922	1188	99
923	1189	97
924	1190	96
925	1191	95
926	1192	93
927	1193	92
928	1193	91
929	1194	89
930	1195	88
931	1196	87
932	1197	85
933	1198	84
934	1199	83
935	1200	82
936	1202	80
937	1203	79
938	1204	78
939	1205	76
940	1206	75
941	1207	74
942	1208	73
943	1209	71
944	1210	70
945	1210	69
946	1211	67
947	1212	66
948	1213	65
949	1215	63
950	1216	62
951	1217	61
952	1218	60
953	1219	58
954	1220	57
955	1221	56
956	1222	54
957	1223	53
958	1224	52
959	1225	51
960	1226	49
961	1227	48
962	1228	47
963	1229	45
964	1230	44
965	1231	43
966	1232	42
967	1233	40
968	1234	39
969	1235	38
970	1236	36
971	1238	35
972	1239	34
973	1240	33
974	1241	31
975	1242	30
976	1243	29
977	1244	28
978	1245	26
979	1246	25
980	1247	24
981	1248	22
982	1249	21
983	1250	20
984	1251	19
985	1252	17
986	1253	16
987	1254	15
988	1255	13
989	1256	12
990	1257	11
991	1259	10
992	1260	8
993	1260	7
994	1261	6
995	1263	5
996	1264	3
997	1265	2
998	1266	1
999	1267	0
